ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021)
KOR,South Korea,Very High,,19,10.6370709,10.6370709,10.6370709,10.6370709,10.6370709,8.836042338,8.836042338,8.836042338,8.836042338,8.836042338,8.836042338,8.836042338
KWT,Kuwait,Very High,AS,50,24.47,24.47,21.62,22.91,22.91,22.46,22.46,21.94,22.11,22.11,22.11,22.11
LAO,Lao,Medium,EAP,140,31.21,31.21,34.05,34.05,34.05,34.05,34.05,31.32,31.32,31.32,31.32,31.32
LBN,Lebanon,High,AS,112,,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177
LBR,Liberia,Low,SSA,178,46.38,46.38,46.38,42.87,42.87,42.87,42.87,42.87,42.87,42.87,42.12,42.12
LBY,Libya,High,AS,104,,,,,,,,,,,,
LCA,Saint Lucia,High,LAC,106,26.67,26.67,26.67,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31
LIE,Liechtenstein,Very High,,16,,,,,,,,,,,,
LKA,Sri Lanka,High,SA,73,,,,,,,11.99693,11.99693,11.99693,11.99693,11.99693,11.99693
LSO,Lesotho,Low,SSA,168,24.30,24.30,24.30,24.30,21.92,21.92,21.92,21.92,19.56,19.56,19.56,19.56
LTU,Lithuania,Very High,,35,4.96892,6.07428,5.85483,5.60263,5.38301,4.83441,4.51676,4.27895,3.88094,3.88094,3.57741,3.57741
LUX,Luxembourg,Very High,,17,6.30828,6.04121,6.01176,5.84549,8.12629,9.35443,9.35443,8.00368,6.29069,6.29069,4.71707,4.71707
LVA,Latvia,Very High,,39,3.57961,3.63922,3.4944,3.78981,3.84566,3.7064,3.7064,2.58293,2.53011,2.53011,2.22774,2.22774
MAR,Morocco,Medium,AS,123,45.8,,,,,,,,41.87093,41.87093,41.87093,41.87093
MCO,Monaco,,,,,,,,,,,,,,,
MDA,Moldova,High,ECA,80,3.57,3.49,3.25,3.25,2.93,2.76,2.76,2.76,2.57,2.57,2.57,2.57
MDG,Madagascar,Low,SSA,173,30.10,30.10,35.01,35.01,35.01,35.01,35.01,35.01,29.35,29.35,29.35,29.35
MDV,Maldives,High,SA,90,39.97,39.97,39.97,39.97,39.97,39.97,29.32,29.32,29.32,29.32,29.32,29.32
